Country Code,alpha2Code,Country Name,alias,region,flagImageUrl,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ABW,AW,Aruba,Aruba,Central America,https://www.countryflags.io/AW/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,191.032272395519,645.393014494604,338.168938916113,315.82049476907,398.643334644121,482.389097169705,386.400916096685,439.36396277570196,342.877634337416,238.070404172099,321.199143468951,234.73557692307702,293.38451276169997,129.014516997605,-82.9166900735914,,,,,,,,,,,,,,,,,,,
AFG,AF,Afghanistan,Afghanistan,Asia,https://www.countryflags.io/AF/flat/64.png,1.9095311278582299,3.78105025296066,1.81041617008544,3.8425246025837203,4.7379207393167695,5.41665997075225,4.94946552455489,3.90387393141067,2.74887908438636,2.50142833853018,2.47099379056533,3.87261670462453,4.67975522454641,4.6205443025963495,3.9619913074651896,5.47317552934946,5.51877360380552,6.499735105994801,6.18535157037621,7.864406799882129,2.47145381005563,1.81525915500635,0.7242367336597291,1.0592029019607199,0.5325995149903,1.36703934124787,0.162744620715141,3.90192316210199,6.2282638026063895,12.496548746777,9.806395393991188,38.16297099251771,14.1451347432813,14.1496881473222,13.259757549415,11.735079516993801,8.99729847666502,11.9206745877461,8.31907766659498,7.0824998696137795,6.545250607640929,18.9920038831882,57.95245029262279,67.2977780251411,93.44722486848619,110.622879763869,112.05669084939801,187.33504016304298,175.845590744425,219.577779927623,221.697707701292,227.967455239266,213.94337656976398,159.671695849612,148.122636818291,124.000093800117,115.00424722200898,104.80405770269199,
AGO,AO,Angola,Angola,Africa,https://www.countryflags.io/AO/flat/64.png,-0.00916601542127098,4.2574562431121405,,0.00528219418120532,,0.192355347911905,0.49470578324898495,3.14846465588649,0.00173260619316619,-0.0189548828984566,-0.00509306299354964,0.0,0.0144033369651081,0.0246268948471609,0.0547225566378461,0.677676537585421,2.40126085426915,6.30497356225033,6.01614205231951,5.840110289477611,6.28679811957121,6.96954763677708,6.59782529780687,7.9628406517889,9.7152771667377,9.08352010144151,12.620988282005902,12.576186355450599,14.187684370779,14.584308363227,22.4309032470752,22.6208049195597,27.1454582256688,22.1329954480477,33.1071072347549,29.8611580208998,31.8949352459415,23.848188187259304,21.828040975804,24.424478452554197,18.432527076224,16.684416443459302,23.6326357206978,27.2328765218336,61.017227449729205,21.3382984790982,8.11517634751655,12.436043325341899,17.009873968191,10.6128194811107,10.0688269852955,7.96592628087235,9.702511927406519,10.975646319272402,8.73698800661976,13.6298524969946,7.16061764999159,7.48639657148392,
ALB,AL,Albania,Albania,Europe,https://www.countryflags.io/AL/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.76938430517933,3.2032783726354506,3.3621964971085094,101.613510510317,126.15801658064501,83.8723051281153,50.8490006035786,56.65377578907479,71.53965883562451,53.4355097273719,85.89976762249358,157.032763355891,102.89647840566,87.74994093471192,100.74041055257099,114.91912136269801,99.42056975710449,104.626053507785,108.282342766881,103.915230114844,123.78728564381001,121.99750027241501,125.323504361967,130.62118033385,120.383353887962,93.25437671756201,97.3208302643311,115.798122888753,58.62102895551999,54.7493837562212,
AND,AD,Andorra,Andorra,Europe,https://www.countryflags.io/AD/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARE,AE,United Arab Emirates,UAE,Asia,https://www.countryflags.io/AE/flat/64.png,4.43636521024043,5.35735545061312,3.8352450097218997,3.11675857108607,4.20171111062816,0.133460565739338,8.12621893283993,9.24775138274499,6.18747501738516,4.28347759298101,22.557288690653895,20.2183291226831,14.140083511091499,1.92588387933831,1.26216437658706,7.38645379089223,1.63029335874919,47.4063839509128,2.0227215059580503,7.544950410464621,4.00192641752059,0.300927403543648,4.0264215671966,3.5084605998246605,2.56574529104594,2.96450499354397,23.6314108325613,74.781420194896,-7.356800523150259,-3.43632455824686,1.9360851264908898,-3.9542565816948905,-4.739657390480059,-4.67986631319948,-3.49984854329156,2.24008215014761,,,,,,,,,,,,,,,,,,,,,,,
ARG,AR,Argentina,Argentina,South America,https://www.countryflags.io/AR/flat/64.png,1.39538660191578,1.4017210521304801,1.8815251813308103,1.7590467120903999,0.789024224005902,-2.8069035386389203,-0.430780871462145,0.950112771683959,1.7575764298641798,1.08344338206802,0.39111308984742893,1.14223006755976,0.9459227868215759,1.82228324347899,1.41071298266747,1.01717419960646,1.1639204755618402,1.04720690190364,1.04061014342867,1.5645569391704,0.6982947842111391,1.5371306506357199,1.0328344101807099,1.60617608193986,1.6306234102977,1.2913568874579198,2.7968370528725295,3.1852449372547205,4.81860007416097,6.5540351424440395,5.1731139954255,8.27352701109465,7.886827191217621,6.67645743047469,4.2665290649517,4.109317256691931,3.73201510033344,2.86980870101431,2.37192999151856,2.32811836647369,1.63733960981088,4.11099449045184,2.34039030407002,2.8279346063686206,2.3921871293058197,2.4199770390151403,2.81064756678552,2.16231635209848,2.994000023952,2.80785997249004,3.1511369161267297,2.3067514042755097,4.25943128205791,0.8229285475050491,1.1434396934578601,-0.437494548706637,0.0601050213661881,-0.11193145998514999,
ARM,AM,Armenia,Armenia,Europe,https://www.countryflags.io/AM/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.775977117804167,6.5208229191386,32.5472747232619,58.2489028272355,67.6675323900305,92.2536653850852,53.069031872379,62.4894046907907,67.73664933431999,70.331845512969,69.3188124510971,97.3045948256711,82.9707229983976,85.3528486496574,57.9015177764905,72.8085354224562,119.995171549789,104.700823835868,181.992124904608,119.06222424416599,137.491665328252,93.8066984278988,96.7564702179471,91.8245174174041,118.77412578066401,111.17635158469601,86.7288846237566,
ASM,AS,American Samoa,American Samoa,Oceania,https://www.countryflags.io/AS/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATG,AG,Antigua and Barbuda,Antigua and Barbuda,Central America,https://www.countryflags.io/AG/flat/64.png,,,,,,,,,,,,,,0.157109190887667,47.5285171102662,32.867969684882304,49.8661150929177,86.5522289612124,58.03082081372111,52.94421487603311,88.9032570920553,146.278317152104,80.1243140873112,54.5422176185929,38.1963551613634,47.745443951704296,81.7760792823137,90.0886303611647,136.795583688138,69.9909689072378,73.72697031729791,114.097243044487,72.43566875029079,45.608647399547,61.9010773168264,33.0566477355468,55.1494164422214,60.6660716278032,136.294111220365,145.16431421913902,129.972637339507,111.12262342641,172.552525704068,70.9962168978562,23.650667197769398,98.93819431657771,39.6595086090153,59.386380406064795,71.0797803201518,49.1088926290549,223.33802880901501,172.767301939431,23.11716753863,17.3740111018838,27.5491022233746,15.924587991364401,0.634739280840395,103.745310502379,
