"Data Source","World Development Indicators",

"Last Updated Date","2019-07-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Benin","BEN","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000287853","0.000279235","0.001045161","0.002455456","0.018230728","0.008397606","0.096861922","0.213098116","0.293871496","0.396742263","0.429235412","0.424581019","0.441530783","0.692731964","0.204970467","0.257997447","",
"Burkina Faso","BFA","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000406732","0.001145826","0.001181836","0.002860989","0.012401316","0.047235406","0.069885579","0.078904444","0.087823194","0.087446113","0.086463178","0.075922277","0.030751775","0.039810887","0.074303756","0.064402407","",
"Bangladesh","BGD","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.029706565","0.033600838","0.210494576","0.272475483","0.304394885","0.385585541","0.968022145","1.940444519","3.035305898","4.045616992","4.433418983","",
"Bulgaria","BGR","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.085894011","2.153489117","5.044905815","8.313469537","11.23188845","13.3856087","15.18953784","17.0848234","18.21718506","19.56405745","20.50483617","22.49480174","23.80412856","25.36087224","",
"Bahrain","BHR","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.168590307","0.677414616","1.250399699","1.802257763","2.410343152","4.030408571","6.588820638","8.399321724","11.77296083","12.48422468","22.80591957","22.71828472","22.8108173","21.51845597","18.44517095","16.29348338","14.31296329","",
"Bahamas, The","BHS","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.365398255","2.438890273","3.465127032","3.969602451","4.064401107","4.940297174","5.988408778","7.313379757","8.901920779","6.845845158","4.227319351","20.9467287","19.21588379","20.19211396","20.94365083","21.40903607","21.97181816","",
"Bosnia and Herzegovina","BIH","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000716807","0.001803099","0.005641178","0.039690446","0.175522249","0.362340111","1.058350011","2.244064653","5.007441016","7.796830213","10.50223477","11.66339782","12.86653692","14.31634239","15.21045137","17.95797522","18.8371527","18.93098893","",
"Belarus","BLR","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000203933","0.001262827","0.007750414","0.016255189","0.11925795","1.780522402","5.027488787","11.51446848","17.59335489","22.1583989","26.7305128","29.38992301","28.30141454","30.60896889","32.35775749","33.40909461","",
"Belize","BLZ","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.349273585","1.023945177","1.772823067","2.491857182","2.506643611","2.62832133","2.656651663","2.772008159","2.946001118","2.961975165","2.876393525","2.814947085","4.837066643","5.007167111","5.419009771","",
"Bermuda","BMU","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.38476892","36.33862564","44.37989274","52.54158607","62.20549586","62.69935581","","","63.8830033","55.67471386","48.38475558","36.96850777","37.17746011","",
"Bolivia","BOL","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.038482229","0.065150129","0.097270873","0.142163491","0.189468568","0.359870799","0.826199979","0.985105876","0.96738918","0.729703286","1.139837429","1.481673927","1.635868197","1.68723522","2.641367715","3.438379963","",
"Brazil","BRA","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000587645","0.004051882","0.057049105","0.186215894","0.405770667","0.529504944","1.70915468","1.730069365","2.522060297","3.983450748","5.190674889","6.018592091","7.165222223","8.975463419","9.533083511","10.55322334","11.73692977","12.37241075","12.88843041","13.80385336","",
"Barbados","BRB","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.03423224","10.84986323","11.65728133","14.10709027","17.06789788","17.74707106","20.57851833","20.09879493","22.32137448","23.75268569","23.99852748","27.42911587","27.53846533","32.43554295","24.19965071","",
"Brunei Darussalam","BRN","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.557455229","0.794829142","1.08605531","1.741752266","2.225338073","2.421066847","3.098990567","4.453766889","5.218984189","5.583000139","5.884323614","4.965378188","6.79218961","7.349697841","8.244679577","8.534107128","9.612616837","",
"Bhutan","BTN","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.293886868","0.472805959","1.192208795","1.787011654","2.226658008","2.677391396","3.217086012","3.540068023","2.0668994","2.068696524","",
"Botswana","BWA","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.086213771","0.095529333","0.184912981","0.45726593","0.505080606","0.594481221","0.932317867","1.064272261","1.014326004","1.535110877","1.667800563","2.624452286","1.415305318","",
"Central African Republic","CAF","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.018095896","0.013473139","","","0.040870196","","","",
"Canada","CAN","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.46391205","1.911086284","4.590520629","9.141094273","11.22254225","14.26908967","16.95179602","21.69228301","24.64046864","27.48437519","29.46396102","30.452949","31.65795927","32.66655803","33.49477897","34.30517994","35.2986828","36.48256513","36.88774224","38.01804648","",
"Central Europe and the Baltics","CEB","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0933850713646719","0.421329385829065","0.956886751707775","2.03099418123623","3.58236201486334","7.77565015020911","11.4717660130449","13.4584471756207","15.9235703980899","17.1947151648894","19.2987939214931","19.9911254294852","21.0901317772616","21.8511483639288","22.5200830851809","23.3058400168971","24.3849885137617","",
"Switzerland","CHE","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.787135931","1.943719599","6.284171789","10.74993832","16.7055361","22.52560892","27.40372232","31.48776817","33.43263433","35.42900296","37.20030373","38.81682952","39.99630214","42.27507459","42.96652984","44.47915561","44.91361848","46.12960941","",
"Channel Islands","CHI","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.050318573","0.432004752","1.206210975","2.229393738","2.997931986","4.388190943","6.19889028","7.896766413","8.565496147","9.83203127","10.52973415","11.72507516","12.51508832","13.14305312","14.13503777","15.3098454","16.21786653","16.94281597","",
"China","CHN","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.001765899","0.026049283","0.253994432","0.858809836","1.897982349","2.826069624","3.825808914","4.968130974","6.16468769","7.690293166","9.291158372","11.44345583","12.7387417","13.66140637","14.42209207","19.83109074","22.98517393","27.96630966","",
"Cote d'Ivoire","CIV","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.002336058","0.004589466","0.006757087","0.053477552","0.052394587","0.051287348","0.050159593","","","0.215546271","0.256215062","0.563024408","0.474747963","0.575542143","0.587884214","",
"Cameroon","CMR","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.001159534","0.002352013","0.003479133","0.004548578","0.004631407","0.029813983","0.052206465","0.065675688","0.078039446","0.073057869","0.070069345","0.196141599","0.175095527","",
"Congo, Dem. Rep.","COD","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","0.000630994","0.000678216","0.001312394","0.001270065","0.001229408","",
"Congo, Rep.","COG","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00293861","0.005699054","0.029051151","0.030042973","0.009218349","0.01026462","","","","",
"Colombia","COL","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.021958245","0.033740835","0.083920879","0.152865271","0.297520164","0.736232719","1.432797206","2.720229054","3.946608161","4.656450528","5.755972422","7.214789882","8.401307766","9.584569675","10.52185379","11.45741715","12.15324251","12.87854234","",
"Comoros","COM","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00016744","0.000653993","","0.01278015","0.016736936","0.009803164","0.047702453","0.056611598","0.170334923","0.175320297","0.20845816","0.205807899","0.20537933","0.180609206","",
